filename, ad, age, alps_release, area, balancer, dbd, doi, effector, gender, publishing_name, roi
"Janelia-1814592531820707938-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_886_882_2624158986663886882_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_58E02_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_22E04_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB042B","PAM-beta'2a,PAM-beta1,PAM-alpha1,PAM-beta'2p,PAM-gamma3,PAM-beta'2m,PAM-beta'1 ap,PAM-gamma4<gamma1gamma2,PAM-beta'1 m,PAM-gamma4,PAM-gamma5"
"Janelia-1841433275831156834-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_789_608_2625324102679789608_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_52G04_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_17C11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB310C","MBON-alpha1"
"Janelia-1841433275831156834-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_861_860_2624207253430861860_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_52G04_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_17C11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB310C","MBON-alpha1"
"Janelia-1841433281300529250-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_106_918_2624892093994106918_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG","GMR_15B01_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_26F01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB296B","PPL1-gamma2alpha'1"
"Janelia-1841433281300529250-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_490_470_2624944195273490470_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_15B01_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_26F01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB296B","PPL1-gamma2alpha'1"
"Janelia-1841433281535410274-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_981_986_1898149870082981986_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_15B01_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_26F01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB296B","PPL1-gamma2alpha'1"
"Janelia-1841433281535410274-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_446_498_2624118566592446498_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_15B01_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_26F01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB296B","PPL1-gamma2alpha'1"
"Janelia-1841433281900314722-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_378_854_2624890805017378854_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG","GMR_15B01_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_26F01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB296B","PPL1-gamma2alpha'1"
"Janelia-1841433281900314722-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_387_750_2624942395686387750_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_15B01_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_26F01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB296B","PPL1-gamma2alpha'1"
"Janelia-1841433282508488802-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_273_634_1898149893726273634_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_82C10_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_50B03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB058B","PPL1-alpha'2alpha2"
"Janelia-1841433282902753378-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_416_738_2624153864009416738_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG","GMR_82C10_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_50B03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB058B","PPL1-alpha'2alpha2"
