filename, ad, age, alps_release, area, balancer, dbd, doi, effector, gender, publishing_name, roi
"Janelia-1841433283431235682-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_555_874_1898149906036555874_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_TH_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_26F01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB308B","PPL1-alpha'3,PPL1-alpha3"
"Janelia-1841433283431235682-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_697_762_2624118566554697762_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_TH_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_26F01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB308B","PPL1-alpha'3,PPL1-alpha3"
"Janelia-1841433298702696546-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_212_386_1900444665971212386_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_58E02_BB_21","Day 6-10","MB Paper 2014","Brain","null","GMR_17C11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB313B","null"
"Janelia-1841433298702696546-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_310_498_2624110179557310498_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_58E02_BB_21","Day 6-10","MB Paper 2014","Brain","null","GMR_17C11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB313B","null"
"Janelia-1841433301160558690-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_380_130_1900447327198380130_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301160558690-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_431_524_2624110234842431524_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301361885282-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_365_925_2334977217043365925_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301361885282-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_232_164_2624111938925232164_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301584183394-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_147_170_1900444665430147170_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301584183394-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_706_212_2624110234934706212_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301710012514-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_725_794_1900445284429725794_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301710012514-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_203_044_2624111139260203044_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301848424546-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_260_962_1900444977268260962_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1841433301848424546-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_277_218_2624111390893277218_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_58E02_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_48H11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0038","Female","MB315C","PAM-gamma5"
"Janelia-1842888951174529122-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_234_658_1903179341559234658_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","null","GMR_58F02_AV_01","10.7554/eLife.04577","UAS_IVS_mCD8_3_0045","Female","MB594B","alpha/betac"
"Janelia-1842888951174529122-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_406_821_2624125084876406821_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","null","GMR_58F02_AV_01","10.7554/eLife.04577","UAS_IVS_mCD8_3_0045","Female","MB594B","alpha/betac"
"Janelia-1842888951661068386-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_682_022_2624927046496682022_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","null","GMR_58F02_AV_01","10.7554/eLife.04577","UAS_IVS_mCD8_3_0045","Female","MB594B","alpha/betac"
"Janelia-1844663949644005474-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_279_335_2624160704596279335_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663949644005474-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_619_751_2624247144709619751_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663949878886498-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_710_950_2624159423676710950_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663949878886498-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_243_110_2624221191258243110_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663950067630178-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_416_674_1898150037947416674_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663950067630178-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_877_604_2624119276272877604_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663950231208034-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_193_447_2624159437090193447_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663950231208034-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_840_935_2624224108421840935_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663950583529570-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_856_743_2624159437190856743_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663950583529570-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_865_127_2624238424411865127_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_24H08_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_53F03_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB027B","MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663950856159330-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_823_078_2624159028388823078_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_65B09_XA_21","Day 6-10","MB Paper 2014","Brain","TM6B","GMR_81E11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB543B","MBON-alpha'1,MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663950856159330-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_791_270_2624224613453791270_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_65B09_XA_21","Day 6-10","MB Paper 2014","Brain","TM6B","GMR_81E11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB543B","MBON-alpha'1,MBON-alpha'3ap,MBON-alpha'3m"
"Janelia-1844663954400346210-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_006_946_2624164002804006946_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_45H04_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB009B","roigamm,gammamain"
"Janelia-1844663955251789922-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_733_154_2624163523193733154_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_89B01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB131B","roigammamain,gamm"
"Janelia-1844663955486670946-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_943_141_2624159194864943141_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_89B01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB131B","roigammamain,gamm"
"Janelia-1844663959014080610-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_343_654_2624162429839343654_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_26E07_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_30F02_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB418B","alpha'/beta'm"
"Janelia-1844663959160881250-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_656_933_2624162495144656933_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_26E07_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_30F02_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB418B","alpha'/beta'm"
"Janelia-1844663960486281314-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_248_872_2624166260304248872_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_85D07_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB371B","alpha/betap"
"Janelia-1844663960486281314-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_170_472_2624224274449170472_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_85D07_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB371B","alpha/betap"
"Janelia-1844663960796659810-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_618_726_2624164705429618726_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_13F02_BB_21","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_85D07_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB371B","alpha/betap"
"Janelia-1844663961048318050-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_098_338_2624164833792098338_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_52H09_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO)","GMR_18F09_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB185B","alpha/betas"
"Janelia-1844663961589383266-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_982_628_2624164744335982628_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_44E04_BB_21","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_26E07_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB477B","alpha/betas"
"Janelia-1844663961824264290-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_726_500_2624166767009726500_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_44E04_BB_21","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_26E07_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB477B","alpha/betas"
"Janelia-1844663963304853602-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_271_460_2624165666487271460_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_26E07_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_39A11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB419B","roigamm"
"Janelia-1844663963304853602-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_310_180_2624223615746310180_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_26E07_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_39A11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB419B","roi gamm"
"Janelia-1844663963493597282-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_503_334_2624164360456503334_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_26E07_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_39A11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB419B","roigamm"
"Janelia-1844663963493597282-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_843_302_2624220631624843302_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_26E07_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_39A11_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB419B","roi gamm"
"Janelia-1844663964768665698-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_391_398_2624235154293391398_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_53C03_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_24E12_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB298B","MBON-gamma4>gamma1gamma2"
"Janelia-1844663965125181538-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_361_316_2624166046235361316_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_53C03_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_24E12_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB298B","MBON-gamma4>gamma1gamma2"
"Janelia-1844663965125181538-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_606_180_2624225813561606180_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_53C03_BB_21","Day 6-10","MB Paper 2014","Brain","(CyO;TM6b)","GMR_24E12_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB298B","MBON-gamma4>gamma1gamma2"
"Janelia-1844663966651908194-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_205_672_2624163530651205672_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_37D04_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_51B02_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB465C","CSD"
"Janelia-1844663968539344994-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_532_135_2624170199766532135_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_52G04_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_94B10_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB083C","MBON-gamma3,MBON-gamma3beta'1"
"Janelia-1844663968811974754-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_770_215_2624169821838770215_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_52G04_BB_04","Day 6-10","MB Paper 2014","Brain","Homozygous","GMR_94B10_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB083C","MBON-gamma3,MBON-gamma3beta'1"
"Janelia-1844664000541884514-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_736_930_1900447179663736930_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_52B07_BB_21","Day 6-10","MB Paper 2014","Brain","CyO","GMR_52H01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB262B","null"
"Janelia-1844664000910983266-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_458_146_1900444840307458146_align_AlignedFlyBrain_8bitc_J18U_SG","GMR_52B07_BB_21","Day 6-10","MB Paper 2014","Brain","CyO","GMR_52H01_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB262B","null"
"Janelia-1845060843746623586-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_256_807_2624167433908256807_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_58E02_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_22E04_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB042B","PAM-beta'2a,PAM-beta1,PAM-alpha1,PAM-beta'2p,PAM-gamma3,PAM-beta'2m,PAM-beta'1 ap,PAM-gamma4<gamma1gamma2,PAM-beta'1 m,PAM-gamma4,PAM-gamma5"
"Janelia-1845060843746623586-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_486_247_2624274880379486247_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG","GMR_58E02_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_22E04_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB042B","PAM-beta'2a,PAM-beta1,PAM-alpha1,PAM-beta'2p,PAM-gamma3,PAM-beta'2m,PAM-beta'1 ap,PAM-gamma4<gamma1gamma2,PAM-beta'1 m,PAM-gamma4,PAM-gamma5"
"Janelia-1845060844409323618-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_342_436_2624168407754342436_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG","GMR_58E02_BB_21","Day 6-10","MB Paper 2014","Brain","L/CyO","GMR_22E04_AV_01","10.7554/eLife.04577","TLN-V5_myr-FLAG_Syt-HA_23_0037","Female","MB042B","PAM-beta'2a,PAM-beta1,PAM-alpha1,PAM-beta'2p,PAM-gamma3,PAM-beta'2m,PAM-beta'1 ap,PAM-gamma4<gamma1gamma2,PAM-beta'1 m,PAM-gamma4,PAM-gamma5"
