Reporter Code,JRC Genotype
IVS_myr_GFP_X_0072,pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18
UAS_Chrimson_Venus_X_0070,20XUAS-CsChrimson-mVenus trafficked in attP18
UAS_IVS-mCD8_3_0007,pJFRC2-10XUAS-IVS-mCD8::GFP in attP2
UAS_IVS_mCD8_3_0045,pJFRC2-10XUAS-IVS-mCD8::GFP in VK00005
HAV5_X_0083,"pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B"
IVS-myr-FLAG_Syt-HA_3_0055,"w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1"
TLN-V5_myr-FLAG_Syt-HA_23_0037,w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b
TLN-V5_myr-FLAG_Syt-HA_23_0038,w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b
hsPESTOPT_attP3_3stop1_X_0036,"pBPhsFlp2::PEST in attP3;; pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005,pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM3, Sb"
57C10PEST_attp18_4stop1,"R57C10-Flp2::PEST in attp18;;pJFRC210-10XUAS-FRT>STOP>FRT-myr::smGFP-OLLAS in attP2, pJFRC201-10XUAS-FRT>STOP>FRT-myr::smGFP-HA in VK00005, pJFRC240-10XUAS-FRT>STOP>FRT-myr::smGFP-V5-THS-10XUAS-FRT>STOP>FRT-myr::smGFP-FLAG in su(Hw)attP1/ TM2"
