filename	label	AD	DBD	part_of
Janelia-2293193745685807202-Brain-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_538_852_2586724838005538852_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_LH732_Brain_2020__1	P{R70D02-p65.AD}	NOT_IN_FB	female organism|adult brain
Janelia-2349380925210493026-Brain-63x_nrs_jacs_jacsData_filestore_rubing_Alignment_391_522_2360034413116391522_align_Brains_63x_Aligned63xScale_8bitc_J18U_SG	JRC_LH2223_Brain_2020__1	NOT_IN_FB	P{R82E01-GAL4.DBD}	female organism|adult brain
Janelia-2349380925311156322-Brain-63x_nrs_jacs_jacsData_filestore_rubing_Alignment_830_885_2360000626554830885_align_Brains_63x_Aligned63xScale_8bitc_J18U_SG	JRC_LH2223_Brain_2020__2	NOT_IN_FB	P{R82E01-GAL4.DBD}	female organism|adult brain
Janelia-2293193745685807202-VNC-20x_nrs_jacs_jacsData_filestore_rubing_Alignment_347_044_2586742741698347044_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_LH732_VNC_2020__1	P{R70D02-p65.AD}	NOT_IN_FB	female organism|thoracico-abdominal ganglion
