filename	label	AD	DBD	part_of
Janelia-2025678793275867234-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_961_826_2611376732652961826_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01065_Brain_2020__1	P{R30C01-p65.AD}	NOT_IN_FB	female organism|adult brain
Janelia-2025678885877710946-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_465_317_2611384485706465317_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS00724_Brain_2020__1	NOT_IN_FB	P{R24A03-GAL4.DBD}	female organism|adult brain
Janelia-2030819958790815842-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_674_596_2611382593844674596_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01067_Brain_2020__1	NOT_IN_FB	P{R88C07-GAL4.DBD}	female organism|adult brain
Janelia-2030820134662176866-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_000_932_2611388526306000932_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS00733_Brain_2020__1	NOT_IN_FB	P{R39H12-GAL4.DBD}	female organism|adult brain
Janelia-2049013650072535138-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_346_852_2611400801901346852_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01592_Brain_2020__1	NOT_IN_FB	P{R81D05-GAL4.DBD}	female organism|adult brain
Janelia-2049013663095849058-Brain-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_735_592_2611406781443735592_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS01605_Brain_2020__1	NOT_IN_FB	P{R74B04-GAL4.DBD}	female organism|adult brain
Janelia-2025678793275867234-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_207_906_2611418463440207906_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01065_VNC_2020__1	P{R30C01-p65.AD}	NOT_IN_FB	female organism|thoracico-abdominal ganglion
Janelia-2025678885877710946-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_498_853_2611412338334498853_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00724_VNC_2020__1	NOT_IN_FB	P{R24A03-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030819958790815842-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_776_356_2611411505454776356_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01067_VNC_2020__1	NOT_IN_FB	P{R88C07-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030820134662176866-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_600_100_2611414841440600100_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00733_VNC_2020__1	NOT_IN_FB	P{R39H12-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2049013650072535138-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_623_588_2611432576937623588_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01592_VNC_2020__1	NOT_IN_FB	P{R81D05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
