filename	label	AD	DBD	part_of
Janelia-2025678793275867234-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_207_906_2611418463440207906_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01065_VNC_2020__1	P{R30C01-p65.AD}	NOT_IN_FB	female organism|thoracico-abdominal ganglion
Janelia-2025678885877710946-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_498_853_2611412338334498853_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00724_VNC_2020__1	NOT_IN_FB	P{R24A03-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030819958790815842-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_776_356_2611411505454776356_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01067_VNC_2020__1	NOT_IN_FB	P{R88C07-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2030820134662176866-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_600_100_2611414841440600100_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00733_VNC_2020__1	NOT_IN_FB	P{R39H12-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2049013650072535138-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_623_588_2611432576937623588_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS01592_VNC_2020__1	NOT_IN_FB	P{R81D05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
