filename	label	AD	DBD	part_of
Janelia-2272121011300204618-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_608_294_2611486759904608294_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS05116_VNC_2020__1	P{VT042835-p65.AD}	P{VT023750-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2136892906349264994-VNC-20x_nrs_jacs_jacsData_filestore_ditp_Alignment_019_558_2611465300759019558_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS02623_VNC_2020__1	P{VT016973-p65.AD}	P{VT002042-GAL4.DBD}	female organism|thoracico-abdominal ganglion
