filename	label	AD	DBD	part_of	Template	synonyms	comment
20x-Brain-2293193745685807202	JRC_LH732_Brain_2019_20160624_53_A5_20x	P{R70D02-p65.AD}	NOT_IN_FB	female organism|adult brain	JRC2018Unisex_c	IS31635|JRC_IS31635	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160624_53_A5', age: 'Adult (unspecified)'
63x-Brain-2349380925210493026	JRC_LH2223_Brain_2019_20161207_32_H4_63x	NOT_IN_FB	P{R82E01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS24155|JRC_SS24155	tile(s): 'ventral, left_dorsal, right_dorsal', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161207_32_H4', age: 'Day 1-5'
63x-Brain-2349380925311156322	JRC_LH2223_Brain_2019_20161207_32_H6_63x	NOT_IN_FB	P{R82E01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS24155|JRC_SS24155	tile(s): 'ventral, left_dorsal, right_dorsal', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 63x/1.40 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20161207_32_H6', age: 'Day 1-5'
20x-VNC-2293193745685807202	JRC_LH732_VNC_2019_20160624_53_A5_20x	P{R70D02-p65.AD}	NOT_IN_FB	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	IS31635|JRC_IS31635	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160624_53_A5', age: 'Adult (unspecified)'
