index	publishing_name	ad	dbd	gender	area	slide_code	objective	sampleId	tile	age	published_externally	effector	line	objectiveName	mounting_protocol	Reporter Code	JRC Genotype	label	filename	part_of	Template	comment
195	OL0070B	GMR_91B01_XA_21	GMR_22A07_XD_01	Female	Brain	20131210_31_C4	20x	1958765496488689762	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_OL0070B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_OL0070B_Brain_2016_20131210_31_C4_20x	20x-Brain-1958765496488689762	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131210_31_C4', age: 'Day 1-5'
473	OL0010B	GMR_92B11_XA_21	GMR_82D11_XD_01	Female	Brain	20140611_32_C1	20x	2020722766663123042	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0010B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0010B_Brain_2016_20140611_32_C1_20x	20x-Brain-2020722766663123042	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_32_C1', age: 'Day 1-5'
475	OL0015B	GMR_22H02_XA_21	GMR_20G06_XD_01	Female	Brain	20140611_32_D1	20x	2020722768114352226	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0015B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0015B_Brain_2016_20140611_32_D1_20x	20x-Brain-2020722768114352226	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_32_D1', age: 'Day 1-5'
477	OL0005B	GMR_21D03_XA_21	GMR_65C12_XD_01	Female	Brain	20140611_32_F1	20x	2020722772065386594	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0005B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0005B_Brain_2016_20140611_32_F1_20x	20x-Brain-2020722772065386594	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_32_F1', age: 'Day 1-5'
479	OL0027B	GMR_14A11_XA_21	GMR_50C10_XD_01	Female	Brain	20140611_32_H1	20x	2020722776121278562	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0027B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0027B_Brain_2016_20140611_32_H1_20x	20x-Brain-2020722776121278562	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_32_H1', age: 'Day 1-5'
481	OL0003B	GMR_24A02_XA_21	GMR_26A03_XD_01	Female	Brain	20140612_31_A1	20x	2021466527429034082	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0003B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0003B_Brain_2016_20140612_31_A1_20x	20x-Brain-2021466527429034082	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140612_31_A1', age: 'Day 1-5'
483	OL0042B	GMR_26A03_XA_21	GMR_24A02_XD_01	Female	Brain	20140612_31_B1	20x	2021466528737656930	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0042B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0042B_Brain_2016_20140612_31_B1_20x	20x-Brain-2021466528737656930	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140612_31_B1', age: 'Day 1-5'
484	SS00315	GMR_47H03_XA_21	GMR_72E01_XD_01	Female	Brain	20140613_31_D1	20x	2021466565618172002	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_SS00315	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_SS00315_Brain_2016_20140613_31_D1_20x	20x-Brain-2021466565618172002	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140613_31_D1', age: 'Day 1-5'
487	OL0004B	GMR_24A02_XA_21	GMR_91B01_XD_01	Female	Brain	20140612_31_C3	20x	2021466530985803874	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0004B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0004B_Brain_2016_20140612_31_C3_20x	20x-Brain-2021466530985803874	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140612_31_C3', age: 'Day 1-5'
488	OL0019B	GMR_35D04_XA_21	GMR_22D06_AV_01	Female	Brain	20140611_31_A2	20x	2259780008018968613	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0019B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0019B_Brain_2016_20140611_31_A2_20x	20x-Brain-2259780008018968613	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_31_A2', age: 'Day 1-5'
491	OL0020B	GMR_35D04_XA_21	GMR_80E07_AV_01	Female	Brain	20140611_31_D1	20x	2259780011294720037	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_OL0020B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_OL0020B_Brain_2016_20140611_31_D1_20x	20x-Brain-2259780011294720037	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140611_31_D1', age: 'Day 1-5'
