index	publishing_name	ad	dbd	gender	area	slide_code	objective	sampleId	tile	age	published_externally	effector	line	objectiveName	mounting_protocol	Reporter Code	JRC Genotype	label	filename	part_of	Template	comment
0	MB099C	GMR_TH_BB_04	GMR_73F07_AV_01	Female	Brain	20150207_43_A3	20x	2302947006252843082	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB099C	Plan-Apochromat 20x/0.8	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_MB099C_Brain_2016_20150207_43_A3_20x	20x-Brain-2302947006252843082	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20150207_43_A3', age: 'Day 1-5'
2	MB099C	GMR_TH_BB_04	GMR_73F07_AV_01	Female	Brain	20151009_41_A5	20x	2302947006336729162	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB099C	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_MB099C_Brain_2016_20151009_41_A5_20x	20x-Brain-2302947006336729162	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20151009_41_A5', age: 'Day 1-5'
4	MB320C	GMR_TH_BB_04	GMR_22B12_AV_01	Female	Brain	20150207_43_A5	20x	2302947006772936778	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB320C	Plan-Apochromat 20x/0.8	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_MB320C_Brain_2016_20150207_43_A5_20x	20x-Brain-2302947006772936778	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20150207_43_A5', age: 'Day 1-5'
6	MB630B	BJD_110D11_BB_21	GMR_72B05_XD_01	Female	Brain	20150925_44_B6	20x	2302947006856822858	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB630B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_MB630B_Brain_2016_20150925_44_B6_20x	20x-Brain-2302947006856822858	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150925_44_B6', age: 'Day 1-5'
1	MB099C	GMR_TH_BB_04	GMR_73F07_AV_01	Female	VNC	20150207_43_A3	20x	2302947006252843082	ventral_nerve_cord	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB099C	Plan-Apochromat 20x/0.8	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_MB099C_VNC_2016_20150207_43_A3_20x	20x-VNC-2302947006252843082	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20150207_43_A3', age: 'Day 1-5'
3	MB099C	GMR_TH_BB_04	GMR_73F07_AV_01	Female	VNC	20151009_41_A5	20x	2302947006336729162	ventral_nerve_cord	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB099C	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_MB099C_VNC_2016_20151009_41_A5_20x	20x-VNC-2302947006336729162	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20151009_41_A5', age: 'Day 1-5'
5	MB320C	GMR_TH_BB_04	GMR_22B12_AV_01	Female	VNC	20150207_43_A5	20x	2302947006772936778	ventral_nerve_cord	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB320C	Plan-Apochromat 20x/0.8	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_MB320C_VNC_2016_20150207_43_A5_20x	20x-VNC-2302947006772936778	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20150207_43_A5', age: 'Day 1-5'
7	MB630B	BJD_110D11_BB_21	GMR_72B05_XD_01	Female	VNC	20150925_44_B6	20x	2302947006856822858	ventral_nerve_cord	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB630B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_MB630B_VNC_2016_20150925_44_B6_20x	20x-VNC-2302947006856822858	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150925_44_B6', age: 'Day 1-5'
