index	publishing_name	ad	dbd	gender	area	slide_code	objective	sampleId	tile	age	published_externally	effector	line	objectiveName	mounting_protocol	Reporter Code	JRC Genotype	label	filename	part_of	Template	comment
0	SS00316	GMR_48A07_XA_21	GMR_79H02_XD_01	Female	Brain	20130612_33_C2	20x	1889492766577131618	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00316	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00316_Brain_2017_20130612_33_C2_20x	20x-Brain-1889492766577131618	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130612_33_C2', age: 'Day 1-5'
9	SS00324	GMR_59E08_XA_21	GMR_42F06_XD_01	Female	Brain	20130625_31_F1	20x	2149419674947813474	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00324	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00324_Brain_2017_20130625_31_F1_20x	20x-Brain-2149419674947813474	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130625_31_F1', age: 'Day 1-5'
19	SS00300	GMR_13E12_XA_21	GMR_59C10_XD_01	Female	Brain	20130822_31_A1	20x	1921658189598687330	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00300	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00300_Brain_2017_20130822_31_A1_20x	20x-Brain-1921658189598687330	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_31_A1', age: 'Day 1-5'
29	SS00955	GMR_55C05_XA_21	GMR_71D01_XD_01	Female	Brain	20131217_31_B3	20x	1958766553818202210	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00955	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00955_Brain_2017_20131217_31_B3_20x	20x-Brain-1958766553818202210	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131217_31_B3', age: 'Day 1-5'
35	SS00809	GMR_19F01_XA_21	GMR_71D01_XD_01	Female	Brain	20131230_32_B1	20x	1969279023695528034	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00809	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00809_Brain_2017_20131230_32_B1_20x	20x-Brain-1969279023695528034	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20131230_32_B1', age: 'Day 1-5'
36	SS01019	GMR_48A07_XA_21	GMR_13F11_XD_01	Female	Brain	20140121_31_F3	20x	1969279737561874530	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS01019	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS01019_Brain_2017_20140121_31_F3_20x	20x-Brain-1969279737561874530	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140121_31_F3', age: 'Day 1-5'
46	SS02432	GMR_48A07_XA_21	BJD_128B11_AV_01	Female	Brain	20141201_34_G1	20x	2093214011708407906	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS02432	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS02432_Brain_2017_20141201_34_G1_20x	20x-Brain-2093214011708407906	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141201_34_G1', age: 'Day 1-5'
48	SS02430	BJD_118D07_BB_21	BJD_128B11_AV_01	Female	Brain	20141201_32_C1	20x	2093208836725801058	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	BJD_SS02430	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS02430_Brain_2017_20141201_32_C1_20x	20x-Brain-2093208836725801058	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141201_32_C1', age: 'Day 1-5'
0	SS00313	GMR_38C11_XA_21	GMR_59C10_XD_01	Female	Brain	20130607_31_G2	63x	1897487170264891399	left_optic_lobe, ventral, left_dorsal, right_dorsal, right_optic_lobe	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00313	Plan-Apochromat 63x/1.4 Oil DIC M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00313_Brain_2017_20130607_31_G2_63x	63x-Brain-1897487170264891399	female organism|adult brain	JRC2018Unisex_c	tile(s): 'left_optic_lobe, ventral, left_dorsal, right_dorsal, right_optic_lobe', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130607_31_G2', age: 'Day 1-5'
1	SS00324	GMR_59E08_XA_21	GMR_42F06_XD_01	Female	Brain	20130625_31_F1	63x	2149419674947813474	left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	GMR_SS00324	Plan-Apochromat 63x/1.4 Oil DIC M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS00324_Brain_2017_20130625_31_F1_63x	63x-Brain-2149419674947813474	female organism|adult brain	JRC2018Unisex_c	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130625_31_F1', age: 'Day 1-5'
