index	publishing_name	ad	dbd	gender	area	slide_code	objective	sampleId	tile	age	published_externally	effector	line	objectiveName	mounting_protocol	Reporter Code	JRC Genotype	label	filename	part_of	Template	comment
0	SS04778	GMR_47G08_BB_21	BJD_109G05_AV_01	Female	Brain	20160202_32_E3	20x	2237375082517233701	brain	Day 1-5	1	IVS-myr-FLAG_Syt-HA_3_0055	JRC_SS04778	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS-myr-FLAG_Syt-HA_3_0055	w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1	JRC_SS04778_Brain_2018_20160202_32_E3_20x	20x-Brain-2237375082517233701	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160202_32_E3', age: 'Day 1-5'
2	SS00081	GMR_16D01_XA_21	GMR_21H11_XD_01	Female	Brain	20160122_43_C5	20x	2237378323623706722	brain	Day 1-5	1	HAV5_X_0083	GMR_SS00081	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	HAV5_X_0083	pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B	JRC_SS00081_Brain_2018_20160122_43_C5_20x	20x-Brain-2237378323623706722	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160122_43_C5', age: 'Day 1-5'
3	SS00190	GMR_38G07_XA_21	GMR_30E10_XD_01	Female	Brain	20160122_43_H2	20x	2237378331437695074	brain	Day 1-5	1	HAV5_X_0083	GMR_SS00190	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	HAV5_X_0083	pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B	JRC_SS00190_Brain_2018_20160122_43_H2_20x	20x-Brain-2237378331437695074	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160122_43_H2', age: 'Day 1-5'
5	SS25983	GMR_47G08_BB_21	GMR_26F04_AV_01	Female	Brain	20160212_44_C4	20x	2244284421903482978	brain	Day 1-5	1	HAV5_X_0083	JRC_SS25983	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	HAV5_X_0083	pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B	JRC_SS25983_Brain_2018_20160212_44_C4_20x	20x-Brain-2244284421903482978	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA (attP18), pJFRC216-13XLexAop2-IVS-myr::smGFP-V5 (su(Hw)attP8; Dr e /TM6B', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160212_44_C4', age: 'Day 1-5'
7	SS47384	BJD_111G03_BB_21	BJD_115C01_AV_01	Female	Brain	20171206_36_D1	20x	2482724465448845410	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS47384	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_SS47384_Brain_2018_20171206_36_D1_20x	20x-Brain-2482724465448845410	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171206_36_D1', age: 'Day 1-5'
9	SS47392	BJD_112D04_BB_21	BJD_115C01_AV_01	Female	Brain	20171206_36_E3	20x	2482724465771806818	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS47392	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_SS47392_Brain_2018_20171206_36_E3_20x	20x-Brain-2482724465771806818	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171206_36_E3', age: 'Day 1-5'
11	SS47449	GMR_38D03_BB_21	BJD_110C07_AV_01	Female	Brain	20171213_31_E2	20x	2483027150324629602	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS47449	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_SS47449_Brain_2018_20171213_31_E2_20x	20x-Brain-2483027150324629602	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171213_31_E2', age: 'Day 1-5'
13	SS47436	GMR_12G04_XA_21	BJD_128B05_AV_01	Female	Brain	20171213_31_F4	20x	2483027150765031522	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS47436	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_SS47436_Brain_2018_20171213_31_F4_20x	20x-Brain-2483027150765031522	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171213_31_F4', age: 'Day 1-5'
15	SS47398	BJD_113C06_BB_21	BJD_100H07_AV_01	Female	Brain	20171213_32_E1	20x	2483057097999122530	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS47398	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_SS47398_Brain_2018_20171213_32_E1_20x	20x-Brain-2483057097999122530	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171213_32_E1', age: 'Day 1-5'
17	SS47467	GMR_48H02_BB_21	BJD_101F10_AV_01	Female	Brain	20171213_32_F2	20x	2483057098376609890	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS47467	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_SS47467_Brain_2018_20171213_32_F2_20x	20x-Brain-2483057098376609890	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20171213_32_F2', age: 'Day 1-5'
