index	publishing_name	ad	dbd	gender	area	slide_code	objective	sampleId	tile	age	published_externally	effector	line	objectiveName	mounting_protocol	Reporter Code	JRC Genotype	label	filename	part_of	Template	comment
0	spGAL4 control			Female	Brain	20141222_80_A3	20x	2110272527384182882	brain	Day 1-5	1	UAS_IVS-mCD8_3_0007	JHS_K_85321	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_IVS-mCD8_3_0007	pJFRC2-10XUAS-IVS-mCD8::GFP in attP2	JRC_spGAL4 control_Brain_2015_20141222_80_A3_20x	20x-Brain-2110272527384182882	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in attP2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141222_80_A3', age: 'Day 1-5'
2	spGAL4 control			Female	Brain	20141222_80_A4	20x	2110272530890621026	brain	Day 1-5	1	UAS_IVS-mCD8_3_0007	JHS_K_85321	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_IVS-mCD8_3_0007	pJFRC2-10XUAS-IVS-mCD8::GFP in attP2	JRC_spGAL4 control_Brain_2015_20141222_80_A4_20x	20x-Brain-2110272530890621026	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in attP2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141222_80_A4', age: 'Day 1-5'
1	spGAL4 control			Female	VNC	20141222_80_A3	20x	2110272527384182882	ventral_nerve_cord	Day 1-5	1	UAS_IVS-mCD8_3_0007	JHS_K_85321	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_IVS-mCD8_3_0007	pJFRC2-10XUAS-IVS-mCD8::GFP in attP2	JRC_spGAL4 control_VNC_2015_20141222_80_A3_20x	20x-VNC-2110272527384182882	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	tile(s): 'ventral_nerve_cord', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in attP2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141222_80_A3', age: 'Day 1-5'
3	spGAL4 control			Female	VNC	20141222_80_A4	20x	2110272530890621026	ventral_nerve_cord	Day 1-5	1	UAS_IVS-mCD8_3_0007	JHS_K_85321	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_IVS-mCD8_3_0007	pJFRC2-10XUAS-IVS-mCD8::GFP in attP2	JRC_spGAL4 control_VNC_2015_20141222_80_A4_20x	20x-VNC-2110272530890621026	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	tile(s): 'ventral_nerve_cord', effector genotype: 'pJFRC2-10XUAS-IVS-mCD8::GFP in attP2', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141222_80_A4', age: 'Day 1-5'
